# java=21.0.12
# os=Linux 6.18.33.2-microsoft-standard-WSL2 amd64
# cores=32
# max_heap_mb=512
# payload_bytes=1400
# ceiling_pkts_per_sec=96000
# budget_pkts_per_sec=48000
offered_pkts_per_sec,sent,received,achieved_pkts_per_sec,delivery_ratio,mbps
1000,2000,2000,1000.5,1.000000,11.205
2000,4000,4000,2000.5,1.000000,22.405
4000,8000,8000,4000.5,1.000000,44.805
8000,16000,16000,8000.4,1.000000,89.605
12000,24000,24000,12000.4,1.000000,134.404
16000,32000,32000,16000.3,1.000000,179.203
24000,48000,48000,24000.3,1.000000,268.803
32000,64000,64000,32000.4,1.000000,358.405
48000,96000,96000,48000.4,1.000000,537.605
64000,128000,128000,64000.4,1.000000,716.804
96000,192000,192000,96000.3,1.000000,1075.204
128000,256000,185678,128000.2,0.725305,1039.798
